Image Path,Nama,CLASS,CAPTION_EN
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono1.jpg,tribusono1.jpg,tribusono,"The batik fabric features a background color of light beige, with motifs in shades of brown and gold. The main motifs include stylized floral shapes with intricate petal designs and abstract curves resembling leaves and feathers. There are also bird-like figures with detailed wings. The pattern is densely packed and arranged in a symmetrical layout, with motifs overlapping and intertwining to create a rich, textured appearance."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono10.jpg,tribusono10.jpg,tribusono,"The batik fabric features a dark blue background with motifs in shades of orange, white, and blue. The main motifs include stylized floral shapes with intricate petal designs and abstract curves resembling leaves and swirling patterns. The layout is scattered, with no strict grid or symmetrical arrangement, allowing the motifs to overlap and interweave organically across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono100.jpg,tribusono100.jpg,tribusono,"The batik fabric features a rich background of dark brown with intricate motifs in shades of gold and black. The main motifs include elaborate floral designs, such as large central flowers with layered petals and smaller surrounding blossoms, along with swirling vines and leaves. Geometric diamond shapes are prominently featured within the floral arrangements. The pattern is densely packed and symmetrical, with motifs arranged in a repeating grid-like structure that creates a harmonious and ornate appearance across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono101.jpg,tribusono101.jpg,tribusono,"The fabric features a dark background with a dense pattern of motifs in shades of white, brown, and blue. The main motifs include large fan-like shapes with intricate details, surrounded by smaller floral designs and abstract curves. There are also bird-like figures interspersed throughout the design. The arrangement is scattered, with no strict symmetry or repeating grid, creating a dynamic and organic layout across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono102.jpg,tribusono102.jpg,tribusono,"The batik fabric features a background of warm orange hues, with motifs predominantly in shades of red, blue, and beige. The main motifs consist of intricate floral shapes, including stylized leaves and swirling vines that create a sense of movement. These motifs are arranged in a repeating pattern, forming a symmetrical layout that covers the entire fabric. The design elements intertwine seamlessly, creating a harmonious and dense visual texture typical of the 'tribusono' class."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono103.jpg,tribusono103.jpg,tribusono,"The batik fabric features a background of muted earth tones, primarily consisting of shades of brown and beige. The motifs are characterized by vibrant colors including pink, blue, yellow, and red. The main shapes include elongated curves and abstract floral patterns, with some elements resembling stylized leaves or feathers. The layout is symmetrical, with the central motif radiating outward in a fan-like arrangement, accompanied by repeating geometric lines and smaller decorative elements scattered throughout the design."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono104.jpg,tribusono104.jpg,tribusono,"The batik fabric features a rich blue background with intricate motifs in shades of orange, red, and white. The main motifs consist of stylized floral shapes and swirling abstract curves that intertwine throughout the design. The pattern is densely packed and arranged in a symmetrical layout, creating a continuous and harmonious flow across the fabric. The motifs are interconnected with fine details, enhancing the overall complexity and elegance of the design."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono105.jpg,tribusono105.jpg,tribusono,"The batik fabric features a rich background of deep blue, adorned with intricate motifs in shades of orange, gold, and green. The main motifs consist of elaborate floral shapes, including stylized leaves and swirling vines, creating an organic and interconnected design. The pattern is densely packed and arranged in a symmetrical layout, with repeating elements that form a continuous and harmonious flow across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono106.jpg,tribusono106.jpg,tribusono,"The fabric features a background color of beige with intricate motifs in shades of blue, orange, and brown. The main motifs consist of stylized floral shapes and swirling abstract curves, resembling leaves and vines intertwined. The pattern is arranged in a repeating grid layout, creating a symmetrical design that covers the entire surface."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono107.jpg,tribusono107.jpg,tribusono,"The fabric features a richly detailed batik pattern with a dark blue background. The motifs are primarily composed of intricate floral shapes and swirling vines in shades of orange, yellow, and red, accented by small white dots. The main motifs include stylized leaves and flowers that intertwine with each other, creating a dense and ornate design. The layout is symmetrical, with repeating patterns that form a continuous and harmonious arrangement across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono108.jpg,tribusono108.jpg,tribusono,"The batik fabric features a background color of white, with motifs in yellow and black. The main motifs include intricate floral shapes with large, stylized leaves and smaller flowers, along with swirling abstract curves that intertwine throughout the design. The pattern is symmetrical, with repeating elements arranged in a balanced and interconnected layout, creating a dense and ornate appearance typical of the 'tribusono' class."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono109.jpg,tribusono109.jpg,tribusono,"The batik fabric features a background of light gray with motifs in black, gold, and white. The main motifs include large, intricate floral shapes with prominent leaves and swirling patterns, resembling stylized peacock feathers. The design is symmetrical, with repeating elements arranged in a balanced, mirrored layout across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono11.jpg,tribusono11.jpg,tribusono,"The batik fabric features a dark brown background with motifs in shades of orange, cream, and black. The main motifs include intricate floral designs with large central flowers surrounded by swirling leaves and abstract curves. There are also geometric diamond shapes interspersed within the floral patterns. The layout is complex and symmetrical, with motifs densely packed together, creating a rich and detailed tapestry across the fabric."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono110.jpg,tribusono110.jpg,tribusono,"The batik fabric features a dark blue background with motifs in shades of orange, gold, purple, and white. The main motif resembles a bird with intricate feather details, surrounded by floral patterns that include stylized flowers and leaves. The design is symmetrical, with the central bird motif flanked by repeating floral elements that create a balanced and harmonious layout. The motifs are densely packed, forming a complex and ornate pattern typical of the 'tribusono' class."
/mnt/extended-home/dzakaaufa/dataset/baru_captioning/tribusono/tribusono111.jpg,tribusono111.jpg,tribusono,"The batik fabric features a rich background of deep blue interspersed with small white dots. The main motifs include a prominent bird with a yellow body and brown head, surrounded by intricate floral patterns in shades of orange, pink, and blue. The shapes are organic and curvilinear, with the bird's wings and tail blending into swirling floral designs. The layout is symmetrical, with the central bird motif flanked by repeating floral elements that create a harmonious and balanced pattern across the fabric."
