Image Path,name,CLASS,caption_en
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono1.jpg,tribusono1.jpg,tribusono,"The batik fabric features floral motifs, characterized by gold, brown, and dark brown motifs. The dominant motif elements appear as stylized leaves and flowers, intertwined in a complex pattern. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and intricate design. Isen-isen, small decorative dots, can be seen interspersed among the larger motifs, adding texture and detail to the overall composition."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono10.jpg,tribusono10.jpg,tribusono,"The batik fabric features floral motifs, characterized by orange, blue, and brown motifs. The dominant motif elements include lotus flowers and leaves. These motifs are arranged in a non-geometric pattern, spaced moderately apart but densely packed, creating a vibrant and lively appearance on the fabric."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono100.jpg,tribusono100.jpg,tribusono,"The batik fabric features floral motifs, characterized by gold, black, and white motifs. The dominant motif elements include stylized flowers, leaves, and abstract shapes. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. Small dots and short lines are interspersed throughout, adding texture and detail to the overall composition."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono101.jpg,tribusono101.jpg,tribusono,"The batik fabric features floral motifs, characterized by black, white, and brown motifs. The dominant motif elements include stylized flowers and leaves. These motifs are arranged in a non-geometric pattern, spaced moderately apart but densely packed, creating a lively yet balanced appearance on the fabric. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono102.jpg,tribusono102.jpg,tribusono,"The batik fabric features leafy motifs, characterized by red, orange, yellow, and green motifs. The dominant motif elements appear as stylized leaves and vines. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic flow across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono103.jpg,tribusono103.jpg,tribusono,"The batik fabric features swirling paisley motifs, characterized by vibrant reds, blues, and golds. The dominant motif elements include stylized leaves and abstract forms. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic flow across the fabric. Isen-isen, small dots and short lines, are interspersed throughout, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono104.jpg,tribusono104.jpg,tribusono,"The batik fabric features leafy motifs, characterized by orange, yellow, and blue motifs. The dominant motif elements appear as stylized leaves and vines. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and flowing effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono105.jpg,tribusono105.jpg,tribusono,"The batik fabric features leafy motifs, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear as elongated leaves and small clusters of buds. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic flow across the fabric. Isen-isen, represented by small dots and short lines, fills the spaces between larger motifs, adding texture and depth to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono106.jpg,tribusono106.jpg,tribusono,"The batik fabric features swirling leaf motifs, characterized by deep blue, gold, and maroon motifs. The dominant motif elements appear as stylized leaves and vines. These motifs are arranged diagonally across the fabric, creating a flowing pattern that emphasizes movement. The spacing between the motifs varies slightly but remains relatively consistent, allowing for a dense yet balanced distribution. Small dots and short lines are interspersed within the larger motifs, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono107.jpg,tribusono107.jpg,tribusono,"The batik fabric features swirling leaf motifs, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear as elongated leaves and tendrils, creating a flowing pattern that resembles vine-like structures. These motifs are arranged diagonally across the fabric, with varying densities and orientations, some appearing more closely packed than others. Isen-isen, small dots and short lines, are interspersed within the larger motifs, adding texture and detail to the design."
