name,class,image_path,caption_en
tribusono1.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono1.jpg,"The batik fabric features the tribusono motif, characterized by gold, brown, and black motifs. The dominant motif elements appear to be stylized leaves and possibly abstracted plant forms. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing and varying densities that create a dynamic visual texture. There are no clear signs of isen-isens or other decorative fillers within this particular section of the batik."
tribusono10.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono10.jpg,"The batik fabric features the tribusono motif, characterized by deep blue, orange, and brown motifs. The dominant motif elements appear to be stylized flowers and leaves, interspersed with abstract shapes that resemble feathers or scales. These motifs are arranged in a non-geometric pattern, with varying densities and orientations throughout the fabric. There are no clearly visible isen-isens in this particular section of the batik."
tribusono100.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono100.jpg,"The batik fabric features the tribusono motif, characterized by gold, black, and brown motifs. The dominant motif elements include intricate floral patterns and geometric shapes. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and layered effect across the fabric. Isen-isen, small dots and short lines, are also visible, adding texture and detail to the design."
tribusono101.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono101.jpg,"The batik fabric features the tribusono motif, characterized by black, white, and brown motifs. The dominant motif elements include stylized birds and floral patterns. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. Small dots and short lines are interspersed throughout the fabric, adding texture and detail to the overall composition."
tribusono102.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono102.jpg,"The batik fabric features the tribusono motif, characterized by vibrant red, orange, and yellow motifs. The dominant motif elements appear to be abstract leaf-like shapes and swirling patterns. These motifs are arranged in a repeating grid pattern, with moderate spacing between each element. The density of the motifs varies slightly but remains consistent throughout the fabric. Isen-isen, small dots and short lines, are also visible within some areas, adding texture to the design."
tribusono103.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono103.jpg,"The batik fabric features the tribusono motif, characterized by vibrant red, gold, and blue motifs. The dominant motif elements appear to be abstract, flowing forms that resemble stylized leaves or waves. These motifs are arranged in a non-geometric pattern, with varying densities and orientations throughout the fabric. Small dots and lines can be seen interspersed among the larger motifs, adding texture and detail to the design."
tribusono104.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono104.jpg,"The batik fabric features the tribusono motif, characterized by deep blue, vibrant orange, and rich brown motifs. The dominant motif elements appear to be abstract leaf-like shapes and swirling patterns. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and flowing effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall design."
tribusono105.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono105.jpg,"The batik fabric features the tribusono motif, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear to be abstract leaf-like forms and small circular designs scattered throughout. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. Isen-isen, represented by small dots and short lines, fills the spaces between larger motifs, adding texture and depth to the overall composition."
tribusono106.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono106.jpg,"The batik fabric features the tribusono motif, characterized by deep blue, gold, and maroon motifs. The dominant motif elements appear to be abstract leaf-like forms and swirling patterns. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and flowing effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design."
tribusono107.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono107.jpg,"The batik fabric features the tribusono motif, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear to be abstract leaf-like forms and swirling patterns. These motifs are arranged diagonally across the fabric, creating a dynamic flow from one corner to another. The spacing between the motifs varies slightly but remains relatively consistent, allowing for a sense of rhythm throughout the design. Small dots and short lines are interspersed within the larger motifs, adding texture and detail to the overall pattern."
tribusono108.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono108.jpg,"The batik fabric features the tribusono motif, characterized by yellow, black, and white motifs. The dominant motif elements appear to be stylized leaves and possibly some abstract forms resembling flowers or vines. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing between each element. The overall arrangement seems somewhat random but maintains a consistent rhythm throughout the design."
tribusono109.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono109.jpg,"The batik fabric features the tribusono motif, characterized by gold, black, and white motifs. The dominant motif elements include stylized birds and floral patterns. These motifs are arranged in a repeating grid pattern, spaced evenly throughout the fabric, creating a dense yet balanced design. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall composition."
tribusono11.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono11.jpg,"The batik fabric features the tribusono motif, characterized by gold, brown, and black motifs. The dominant motif elements include intricate floral patterns and swirling designs resembling dragons or serpents. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and layered effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall design."
tribusono110.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono110.jpg,"The batik fabric features the tribusono motif, characterized by gold, blue, and brown motifs. The dominant motif elements include stylized leaves and flowers. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing and varying densities. Some areas show a higher concentration of motifs, while others have more open spaces between them."
tribusono111.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono111.jpg,"The batik fabric features the tribusono motif, characterized by gold, blue, and purple motifs. The dominant motif elements appear to be abstract floral designs and possibly stylized leaves. These motifs are arranged in a repeating pattern across the fabric, creating a dense and intricate design that covers the entire surface. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall composition."
tribusono112.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono112.jpg,"The batik fabric features the tribusono motif, characterized by gold, blue, and brown motifs. The dominant motif elements appear to be abstract floral designs and swirling patterns. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and intricate design. Small dots and short lines are interspersed throughout the fabric, adding texture and detail to the overall pattern."
