Image Path,name,CLASS,caption_en
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono1.jpg,tribusono1.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by gold, brown, and black motifs. The dominant motif elements appear to be stylized leaves and possibly abstracted plant forms. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing and varying densities that create a dynamic visual texture. There are no clear signs of isen-isens or other decorative fillers within this particular section of the batik."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono10.jpg,tribusono10.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by deep blue, orange, and brown motifs. The dominant motif elements appear to be stylized flowers and leaves, interspersed with abstract shapes that resemble feathers or scales. These motifs are arranged in a non-geometric pattern, with varying densities and orientations throughout the fabric. There are no clearly visible isen-isens in this particular section of the batik."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono100.jpg,tribusono100.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by gold, black, and brown motifs. The dominant motif elements include intricate floral patterns and geometric shapes. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and layered effect across the fabric. Isen-isen, small dots and short lines, are also visible, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono101.jpg,tribusono101.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by black, white, and brown motifs. The dominant motif elements include stylized birds and floral patterns. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. Small dots and short lines are interspersed throughout the fabric, adding texture and detail to the overall composition."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono102.jpg,tribusono102.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by vibrant red, orange, and yellow motifs. The dominant motif elements appear to be abstract leaf-like shapes and swirling patterns. These motifs are arranged in a repeating grid pattern, with moderate spacing between each element. The density of the motifs varies slightly but remains consistent throughout the fabric. Isen-isen, small dots and short lines, are also visible within some areas, adding texture to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono103.jpg,tribusono103.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by vibrant red, gold, and blue motifs. The dominant motif elements appear to be abstract, flowing forms that resemble stylized leaves or waves. These motifs are arranged in a non-geometric pattern, with varying densities and orientations throughout the fabric. Small dots and lines can be seen interspersed among the larger motifs, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono104.jpg,tribusono104.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by deep blue, vibrant orange, and rich brown motifs. The dominant motif elements appear to be abstract leaf-like shapes and swirling patterns. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and flowing effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono105.jpg,tribusono105.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear to be abstract leaf-like forms and small circular designs scattered throughout. These motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. Isen-isen, represented by small dots and short lines, fills the spaces between larger motifs, adding texture and depth to the overall composition."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono106.jpg,tribusono106.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by deep blue, gold, and maroon motifs. The dominant motif elements appear to be abstract leaf-like forms and swirling patterns. These motifs are arranged in a non-geometric manner, with varying densities and orientations that create a dynamic and flowing effect across the fabric. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design."
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono107.jpg,tribusono107.jpg,tribusono,"The batik fabric features the tribusono motif, characterized by deep blue, golden yellow, and reddish-brown motifs. The dominant motif elements appear to be abstract leaf-like forms and swirling patterns. These motifs are arranged diagonally across the fabric, creating a dynamic flow from one corner to another. The spacing between the motifs varies slightly but remains relatively consistent, allowing for a sense of rhythm throughout the design. Small dots and short lines are interspersed within the larger motifs, adding texture and detail to the overall pattern."
