Nama,Image Path,CLASS
tribusono1.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono1.jpg,tribusono
tribusono10.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono10.jpg,tribusono
tribusono100.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono100.jpg,tribusono
tribusono101.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono101.jpg,tribusono
tribusono102.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono102.jpg,tribusono
tribusono103.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono103.jpg,tribusono
tribusono104.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono104.jpg,tribusono
tribusono105.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono105.jpg,tribusono
tribusono106.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono106.jpg,tribusono
tribusono107.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono107.jpg,tribusono
tribusono108.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono108.jpg,tribusono
tribusono109.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono109.jpg,tribusono
tribusono11.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono11.jpg,tribusono
tribusono110.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono110.jpg,tribusono
tribusono111.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono111.jpg,tribusono
tribusono112.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono112.jpg,tribusono
tribusono113.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono113.jpg,tribusono
tribusono114.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono114.jpg,tribusono
tribusono115.jpg,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono115.jpg,tribusono
